"Table 2.  Detailed Occupation1 by Median Earnings in the Past 12 Months, Sex and Education for Full-Time, Year-Round Workers: ACS 2016",,,,,,,,,,,,,,,,,,,
"Universe: Full-time, year-round, civilian employed population 25 years and over with earnings ",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,Total,,,,,,Less than Bachelor's degree,,,,,,Bachelor's degree or higher,,,,,,
Service Occupations," 29,542 ", 168 ," 34,311 ", 352 ," 25,497 ", 100 ," 27,445 ", 86 ," 31,763 ", 94 ," 24,730 ", 147 ," 41,549 ", 256 ," 50,927 ", 330 ," 33,343 "," 1,074 ",
Healthcare Support Occupations," 29,666 ", 319 ," 32,376 ", 758 ," 28,919 ", 307 ," 28,810 ", 314 ," 31,472 ", 502 ," 28,303 ", 308 ," 36,003 ", 519 ," 41,483 "," 1,981 "," 35,034 "," 1,638 ",
"Nursing, psychiatric, and home health aides"," 26,656 ", 179 ," 30,727 ", 603 ," 26,272 ", 200 ," 26,350 ", 195 ," 29,865 "," 1,035 "," 26,061 ", 213 ," 32,162 ", 976 ," 39,109 "," 4,702 "," 31,241 "," 1,031 ",
Occupational therapy assistants and aides," 51,525 "," 1,991 "," 60,709 "," 4,728 "," 50,123 "," 2,526 "," 52,639 "," 1,593 "," 61,715 "," 11,446 "," 51,337 "," 1,681 "," 44,268 "," 4,313 "," 50,827 "," 6,068 "," 43,635 "," 4,330 ",
Physical therapist assistants and aides," 47,247 "," 1,403 "," 49,916 "," 1,869 "," 45,445 "," 2,075 "," 47,536 "," 1,599 "," 52,236 "," 4,360 "," 45,377 "," 2,542 "," 46,450 "," 4,017 "," 47,198 "," 4,625 "," 45,723 "," 6,559 ",
Massage therapists," 31,146 ", 920 ," 31,041 "," 1,787 "," 31,192 "," 1,042 "," 30,346 "," 2,283 "," 30,490 "," 5,049 "," 30,279 "," 2,249 "," 35,817 "," 1,499 "," 35,249 "," 7,411 "," 36,014 "," 2,270 ",
Dental assistants," 32,214 ", 449 ," 35,797 "," 2,916 "," 32,110 ", 422 ," 31,966 ", 425 ," 31,563 "," 2,870 "," 31,990 ", 432 ," 36,713 "," 1,225 "," 47,495 "," 53,742 "," 35,711 "," 2,234 ",
Medical assistants," 31,247 ", 186 ," 36,700 "," 1,868 "," 31,048 ", 194 ," 31,023 ", 205 ," 32,775 "," 2,324 "," 30,939 ", 212 ," 36,102 "," 1,045 "," 51,277 "," 8,963 "," 33,722 "," 3,416 ",
Medical transcriptionists," 35,088 "," 1,721 "," 50,605 "," 3,922 "," 34,279 "," 1,934 "," 35,415 "," 1,738 "," 50,640 "," 4,979 "," 35,055 "," 1,778 "," 30,049 "," 5,814 "," 50,551 "," 13,311 "," 28,525 "," 3,124 ",
Pharmacy aides," 31,018 "," 1,408 "," 36,703 "," 10,749 "," 30,443 "," 1,824 "," 29,610 "," 2,082 "," 31,442 "," 6,823 "," 28,909 "," 2,869 "," 49,237 "," 22,852 "," 65,284 "," 19,984 "," 37,481 "," 25,465 ",
Veterinary assistants and laboratory animal caretakers," 29,116 "," 1,915 "," 36,482 "," 1,683 "," 26,990 "," 1,053 "," 27,321 "," 1,418 "," 32,570 "," 4,473 "," 26,481 "," 1,113 "," 36,855 "," 5,714 "," 60,557 "," 19,625 "," 30,746 "," 2,962 ",
Phlebotomists," 31,621 ", 481 ," 30,951 "," 1,170 "," 31,749 ", 534 ," 31,513 ", 471 ," 31,072 "," 1,334 "," 31,577 ", 518 ," 35,883 "," 6,811 "," 30,615 "," 6,721 "," 38,029 "," 3,556 ",
"Healthcare support workers, all other, including medical equipment preparers"," 30,930 ", 829 ," 33,850 "," 3,459 "," 30,207 "," 1,284 "," 30,052 "," 1,495 "," 34,146 "," 3,694 "," 27,645 "," 1,718 "," 41,805 "," 5,103 "," 32,926 "," 11,155 "," 45,019 "," 5,557 ",
Protective Service Occupations," 52,224 ", 268 ," 55,588 ", 537 ," 42,401 ", 635 ," 48,444 ", 682 ," 51,067 ", 329 ," 38,997 "," 1,379 "," 66,612 ", 854 ," 69,864 "," 1,656 "," 59,335 "," 3,343 ",
First-line supervisors of correctional officers," 51,618 "," 1,508 "," 54,422 "," 5,042 "," 48,466 "," 4,622 "," 50,420 "," 1,827 "," 51,410 "," 1,599 "," 42,275 "," 5,662 "," 61,318 "," 4,172 "," 62,291 "," 7,650 "," 53,449 "," 8,255 ",
First-line supervisors of police and detectives," 79,736 "," 3,127 "," 81,331 "," 2,202 "," 70,171 "," 4,371 "," 70,481 "," 1,897 "," 71,386 "," 1,280 "," 57,401 "," 7,228 "," 91,730 "," 3,471 "," 96,081 "," 3,689 "," 80,597 "," 3,395 ",
First-line supervisors of fire fighting and prevention workers," 90,613 "," 2,462 "," 90,955 "," 2,077 "," 85,270 "," 7,368 "," 85,086 "," 4,315 "," 85,198 "," 4,166 "," 71,924 "," 42,085 "," 101,938 "," 2,905 "," 102,615 "," 6,176 "," 85,601 "," 5,443 ",
"First-line supervisors of protective service workers, all other"," 50,590 "," 1,798 "," 47,782 "," 4,565 "," 55,092 "," 4,871 "," 42,216 "," 1,583 "," 41,961 "," 1,308 "," 45,478 "," 5,348 "," 70,635 "," 4,755 "," 62,889 "," 8,882 "," 75,969 "," 7,629 ",
Firefighters," 70,136 "," 1,188 "," 70,479 ", 617 ," 52,254 "," 9,076 "," 68,185 "," 2,082 "," 69,353 "," 2,064 "," 46,378 "," 3,675 "," 73,360 "," 4,183 "," 75,096 "," 4,623 "," 61,129 "," 7,295 ",
Fire inspectors," 60,698 "," 4,263 "," 60,702 "," 4,003 "," 60,617 "," 27,704 "," 53,668 "," 4,997 "," 54,326 "," 4,972 "," 51,033 "," 20,800 "," 84,639 "," 9,924 "," 84,489 "," 10,142 "," 90,762 "," 37,202 ",
"Bailiffs, correctional officers, and jailers"," 46,522 ", 749 ," 49,427 "," 1,142 "," 40,562 ", 815 ," 45,547 ", 860 ," 48,161 "," 1,245 "," 39,860 "," 1,216 "," 51,090 "," 1,158 "," 52,496 "," 2,687 "," 45,702 "," 2,598 ",
Detectives and criminal investigators," 77,074 "," 3,537 "," 81,411 "," 1,549 "," 62,307 "," 5,513 "," 65,886 "," 3,593 "," 70,146 "," 4,840 "," 53,491 "," 4,273 "," 88,858 "," 5,589 "," 96,884 "," 6,784 "," 71,472 "," 7,418 ",
Fish and game wardens," 52,778 "," 8,209 "," 55,579 "," 9,673 "," 47,015 "," 18,425 "," 49,401 "," 8,791 "," 48,134 "," 7,010 ", - , ** ," 56,484 "," 9,534 "," 59,564 "," 12,412 "," 37,339 "," 15,752 ",
Parking enforcement workers," 40,083 "," 5,139 "," 42,221 "," 20,147 "," 38,833 "," 7,039 "," 40,644 "," 5,003 "," 44,273 "," 18,677 "," 40,109 "," 10,710 "," 32,476 "," 12,963 "," 31,176 "," 16,529 ", - , ** ,
Police and sheriff patrol officers," 65,449 ", 921 ," 66,300 ", 835 ," 59,149 "," 3,338 "," 61,158 ", 545 ," 61,715 ", 556 ," 52,386 "," 2,263 "," 71,684 ", 759 ," 72,199 ", 860 ," 66,085 "," 4,117 ",
Transit and railroad police," 75,603 "," 9,405 "," 75,603 "," 9,405 ", - , ** ," 49,310 "," 39,911 "," 49,310 "," 39,911 ", - , ** ," 92,375 "," 140,322 "," 92,375 "," 140,322 ", - , ** ,
Animal control workers," 35,364 "," 3,455 "," 35,818 "," 6,825 "," 35,223 "," 5,257 "," 35,817 "," 2,655 "," 37,495 "," 7,538 "," 35,219 "," 5,715 "," 30,095 "," 8,544 "," 27,205 "," 7,963 "," 35,245 "," 10,747 ",
Private detectives and investigators," 57,061 "," 3,150 "," 61,665 "," 2,566 "," 50,767 "," 3,215 "," 50,462 "," 2,494 "," 54,518 "," 4,836 "," 43,411 "," 5,192 "," 61,338 "," 1,074 "," 68,137 "," 6,135 "," 56,284 "," 7,105 ",
Security guards and gaming surveillance officers," 31,440 ", 350 ," 31,841 ", 382 ," 30,030 ", 821 ," 30,476 ", 387 ," 30,890 ", 415 ," 28,537 "," 1,158 "," 39,871 "," 1,545 "," 39,478 "," 1,929 "," 40,610 "," 2,636 ",
Crossing guards," 35,145 "," 5,273 "," 31,530 "," 4,454 "," 36,352 "," 2,660 "," 35,168 "," 5,182 "," 31,644 "," 4,780 "," 36,305 "," 2,762 "," 21,829 "," 38,318 "," 20,549 "," 31,692 ", - , ** ,
Transportation security screeners," 42,388 "," 1,311 "," 44,117 "," 2,508 "," 41,331 ", 787 ," 41,756 ", 724 ," 42,265 "," 1,651 "," 41,056 ", 847 ," 49,404 "," 8,235 "," 51,241 "," 10,980 "," 48,135 "," 18,150 ",
"Lifeguards and other recreational, and all other protective service workers"," 36,844 "," 3,770 "," 40,933 "," 1,476 "," 25,758 "," 8,488 "," 31,457 "," 2,097 "," 35,804 "," 2,826 "," 19,966 "," 2,804 "," 45,960 "," 5,141 "," 51,693 "," 6,621 "," 34,217 "," 7,829 ",
Food Preparation and Serving Related Occupations," 24,502 ", 198 ," 26,514 ", 194 ," 21,926 ", 124 ," 23,676 ", 195 ," 26,031 ", 207 ," 21,484 ", 127 ," 31,241 ", 398 ," 31,923 ", 559 ," 30,369 ", 696 ,
Chefs and head cooks," 32,367 ", 811 ," 34,779 "," 1,473 "," 29,745 "," 1,414 "," 31,713 ", 536 ," 33,156 "," 2,020 "," 27,129 "," 1,245 "," 40,396 "," 2,280 "," 40,872 "," 2,361 "," 38,051 "," 4,294 ",
First-line supervisors of food preparation and serving workers," 27,554 ", 796 ," 32,175 ", 807 ," 25,058 ", 580 ," 26,782 ", 476 ," 31,478 ", 818 ," 24,236 ", 827 ," 36,147 "," 1,804 "," 41,204 "," 1,971 "," 31,425 "," 1,511 ",
Cooks," 22,347 ", 160 ," 24,257 ", 406 ," 20,576 ", 254 ," 22,246 ", 155 ," 24,123 ", 404 ," 20,430 ", 264 ," 25,773 ", 852 ," 26,156 ", 975 ," 24,612 "," 1,952 ",
Food preparation workers," 21,303 ", 299 ," 22,641 ", 703 ," 20,454 ", 325 ," 21,115 ", 296 ," 22,312 ", 546 ," 20,312 ", 354 ," 23,888 "," 1,936 "," 25,748 "," 1,889 "," 21,826 ", 936 ,
Bartenders," 30,523 ", 372 ," 31,945 ", 489 ," 26,716 "," 1,061 "," 29,746 "," 1,101 "," 31,740 ", 603 ," 25,235 "," 1,269 "," 33,794 "," 3,950 "," 35,231 "," 6,149 "," 33,107 "," 3,772 ",
"Combined food preparation and serving workers, including fast food"," 21,982 ", 505 ," 22,274 ", 951 ," 21,830 ", 572 ," 21,860 ", 491 ," 22,256 ", 918 ," 21,656 ", 556 ," 24,834 "," 3,227 "," 22,772 "," 6,496 "," 25,427 "," 3,843 ",
"Counter attendants, cafeteria, food concession, and coffee shop"," 20,942 "," 1,332 "," 26,265 "," 2,921 "," 18,046 "," 2,814 "," 20,550 "," 1,688 "," 25,910 "," 3,254 "," 17,447 "," 2,575 "," 26,344 "," 11,131 "," 46,028 "," 27,279 "," 22,399 "," 6,293 ",
Waiters and waitresses," 24,863 ", 551 ," 29,020 "," 1,636 "," 22,286 ", 292 ," 23,346 ", 587 ," 27,261 ", 931 ," 21,596 ", 303 ," 31,661 ", 686 ," 32,317 "," 2,704 "," 31,141 ", 902 ,
"Food servers, nonrestaurant"," 25,884 ", 687 ," 29,801 "," 1,645 "," 24,236 "," 1,341 "," 25,435 ", 793 ," 29,644 "," 1,630 "," 23,222 "," 1,300 "," 30,165 "," 3,407 "," 38,309 "," 23,680 "," 29,399 "," 3,334 ",
Dining room and cafeteria attendants and bartender helpers," 22,371 "," 1,005 "," 25,052 "," 1,096 "," 19,201 "," 1,368 "," 22,011 ", 846 ," 24,680 "," 1,333 "," 18,747 "," 1,377 "," 33,792 "," 2,382 "," 33,870 "," 5,203 "," 33,766 "," 5,640 ",
Dishwashers," 20,244 ", 477 ," 20,373 ", 514 ," 19,647 "," 1,518 "," 20,238 ", 508 ," 20,358 ", 539 ," 19,667 "," 1,542 "," 20,462 "," 3,471 "," 21,113 "," 8,713 "," 19,104 "," 6,990 ",
"Hosts and hostesses, restaurant, lounge, and coffee shop"," 23,205 "," 3,662 "," 27,781 "," 2,825 "," 21,766 "," 2,002 "," 21,861 "," 1,580 "," 28,469 "," 2,513 "," 20,958 "," 1,494 "," 30,385 "," 7,418 "," 26,409 "," 5,582 "," 31,311 "," 7,761 ",
"Food preparation and serving related workers, all other"," 20,138 "," 5,936 "," 17,308 "," 9,916 "," 21,070 "," 6,784 "," 16,365 "," 3,897 "," 16,867 "," 10,280 "," 16,090 "," 1,282 "," 26,733 "," 13,517 ", - , ** ," 37,524 "," 23,544 ",
Building and Grounds Cleaning and Maintenance Occupations," 26,912 ", 132 ," 30,677 ", 140 ," 22,086 ", 139 ," 26,567 ", 144 ," 30,334 ", 151 ," 21,935 ", 138 ," 34,622 "," 1,528 "," 39,313 "," 1,923 "," 26,576 ", 685 ,
First-line supervisors of housekeeping and janitorial workers," 36,491 ", 653 ," 41,193 ", 957 ," 28,998 "," 1,816 "," 35,744 ", 614 ," 40,263 "," 1,344 "," 27,957 "," 1,731 "," 45,627 "," 4,230 "," 50,886 "," 5,567 "," 36,094 "," 7,213 ",
"First-line supervisors of landscaping, lawn service, and groundskeeping workers"," 41,081 ", 769 ," 41,241 ", 818 ," 36,425 "," 6,335 "," 38,959 "," 3,139 "," 39,585 "," 2,977 "," 36,026 "," 4,624 "," 51,008 "," 1,198 "," 51,368 "," 1,226 "," 40,704 "," 17,550 ",
Janitors and building cleaners," 28,655 ", 365 ," 31,196 ", 162 ," 23,069 ", 416 ," 28,365 ", 387 ," 31,028 ", 171 ," 22,989 ", 424 ," 32,232 "," 1,097 "," 36,429 "," 1,290 "," 24,663 "," 1,595 ",
Maids and housekeeping cleaners," 21,680 ", 158 ," 26,443 ", 554 ," 21,176 ", 170 ," 21,562 ", 159 ," 26,300 ", 562 ," 21,070 ", 171 ," 26,054 "," 1,091 "," 28,583 "," 3,213 "," 25,457 "," 1,441 ",
Pest control workers," 39,024 "," 2,713 "," 38,940 "," 2,617 "," 42,072 "," 24,352 "," 39,039 "," 2,879 "," 38,920 "," 2,769 "," 42,552 "," 24,824 "," 38,887 "," 5,116 "," 39,126 "," 5,141 "," 28,849 "," 42,496 ",
Grounds maintenance workers," 26,585 ", 322 ," 26,703 ", 335 ," 23,620 "," 1,192 "," 26,171 ", 335 ," 26,325 ", 341 ," 22,507 "," 1,133 "," 34,596 "," 3,210 "," 35,532 "," 2,244 "," 30,319 "," 1,961 ",
Personal Care and Service Occupations," 26,057 ", 172 ," 31,820 ", 290 ," 24,466 ", 280 ," 25,179 ", 199 ," 30,909 ", 341 ," 23,441 ", 302 ," 31,938 ", 426 ," 39,725 "," 1,952 "," 30,345 ", 490 ,
First-line supervisors of gaming workers," 46,777 "," 5,595 "," 50,483 "," 3,124 "," 41,668 "," 2,272 "," 45,795 "," 4,771 "," 50,113 "," 6,680 "," 41,502 "," 3,925 "," 50,948 "," 5,043 "," 52,356 "," 4,242 "," 41,866 "," 3,770 ",
First-line supervisors of personal service workers," 33,572 "," 2,538 "," 41,628 "," 2,224 "," 31,240 ", 850 ," 31,468 ", 783 ," 36,425 "," 2,045 "," 30,306 "," 1,863 "," 45,479 "," 7,012 "," 52,346 "," 12,448 "," 37,081 "," 6,696 ",
Animal trainers," 30,860 "," 2,231 "," 35,799 "," 7,082 "," 28,230 "," 3,278 "," 28,805 "," 4,084 "," 32,101 "," 9,016 "," 25,278 "," 3,068 "," 33,112 "," 5,906 "," 40,402 "," 3,844 "," 31,215 "," 1,978 ",
Nonfarm animal caretakers," 26,984 ", 728 ," 31,355 ", 975 ," 25,716 ", 743 ," 26,226 ", 801 ," 31,007 "," 1,028 "," 24,713 ", 900 ," 31,078 "," 1,513 "," 35,480 "," 2,587 "," 30,272 "," 1,911 ",
Gaming services workers," 40,244 ", 766 ," 41,543 ", 959 ," 36,439 "," 2,143 "," 40,307 ", 786 ," 41,793 "," 1,214 "," 36,269 "," 2,258 "," 39,320 "," 5,403 "," 39,126 "," 6,755 "," 39,725 "," 7,264 ",
Motion picture projectionists," 47,566 "," 17,024 "," 49,093 "," 11,244 "," 21,932 "," 13,454 "," 40,202 "," 30,234 "," 41,440 "," 13,903 "," 21,656 ", 839 ," 66,179 "," 10,835 "," 66,380 "," 2,348 ", - , ** ,
"Ushers, lobby attendants, and ticket takers"," 36,209 "," 8,018 "," 45,224 "," 24,542 "," 33,699 "," 13,709 "," 35,750 "," 11,672 "," 45,445 "," 25,497 "," 27,390 "," 20,399 "," 36,250 "," 7,674 "," 36,862 "," 30,788 "," 35,774 "," 11,581 ",
Miscellaneous entertainment attendants and related workers," 30,087 "," 2,594 "," 31,480 "," 1,237 "," 24,888 "," 3,483 "," 26,156 "," 2,282 "," 31,039 "," 1,277 "," 21,655 "," 1,328 "," 36,092 "," 2,196 "," 35,550 "," 5,558 "," 36,428 "," 2,582 ",
Embalmers and funeral attendants," 30,187 "," 2,757 "," 30,050 "," 4,054 "," 31,043 "," 11,025 "," 27,458 "," 3,200 "," 27,309 "," 3,638 "," 27,984 "," 12,399 "," 47,721 "," 12,286 "," 40,026 "," 22,073 "," 61,080 "," 12,618 ",
"Morticians, undertakers, and funeral directors"," 51,506 "," 1,367 "," 52,177 "," 1,968 "," 44,367 "," 9,154 "," 51,336 "," 2,465 "," 52,421 "," 2,799 "," 41,319 "," 10,523 "," 51,672 "," 1,600 "," 51,971 "," 2,186 "," 49,194 "," 11,740 ",
Barbers," 25,668 "," 1,138 "," 26,612 "," 1,188 "," 21,238 "," 1,117 "," 25,546 "," 1,109 "," 26,410 "," 1,117 "," 21,313 "," 1,141 "," 31,222 "," 8,866 "," 32,205 "," 10,896 "," 19,334 "," 7,390 ",
"Hairdressers, hairstylists, and cosmetologists"," 27,013 ", 465 ," 32,100 "," 1,763 "," 26,486 ", 474 ," 26,673 ", 473 ," 31,665 "," 1,394 "," 26,179 ", 489 ," 32,146 "," 3,744 "," 40,302 "," 11,570 "," 31,453 "," 2,013 ",
Miscellaneous personal appearance workers," 24,030 ", 743 ," 26,605 "," 1,879 "," 23,435 ", 716 ," 23,703 ", 773 ," 26,348 "," 1,857 "," 23,121 ", 751 ," 26,743 "," 2,626 "," 35,610 "," 12,174 "," 26,307 "," 2,199 ",
"Baggage porters, bellhops, and concierges"," 34,820 "," 2,218 "," 36,498 "," 1,951 "," 30,952 "," 1,492 "," 33,261 "," 2,398 "," 35,860 "," 3,063 "," 30,114 "," 3,180 "," 37,305 "," 2,528 "," 37,287 "," 5,844 "," 37,510 "," 6,164 ",
Tour and travel guides," 31,383 "," 2,153 "," 32,093 "," 3,896 "," 30,129 "," 6,495 "," 25,977 "," 2,836 "," 26,773 "," 5,770 "," 23,070 "," 5,951 "," 37,249 "," 4,532 "," 40,771 "," 3,872 "," 35,678 "," 2,153 ",
Childcare workers," 22,115 ", 246 ," 26,578 "," 1,357 "," 21,933 ", 259 ," 21,358 ", 272 ," 24,509 "," 2,547 "," 21,213 ", 285 ," 27,025 ", 743 ," 31,191 "," 2,833 "," 26,571 ", 765 ,
Personal care aides," 23,311 ", 383 ," 26,751 ", 635 ," 22,479 ", 294 ," 22,723 ", 406 ," 26,249 ", 733 ," 22,211 ", 231 ," 26,951 "," 1,146 "," 30,936 "," 1,258 "," 25,890 "," 1,395 ",
Recreation and fitness workers," 32,397 "," 1,218 "," 36,709 "," 1,584 "," 31,181 ", 713 ," 30,771 ", 552 ," 32,204 ", 919 ," 28,796 "," 1,712 "," 37,468 "," 2,831 "," 41,832 "," 1,869 "," 35,763 "," 1,067 ",
Residential advisors," 30,759 "," 1,012 "," 32,006 "," 2,171 "," 30,176 "," 2,087 "," 30,192 "," 2,191 "," 33,335 "," 4,352 "," 27,939 "," 3,376 "," 32,018 "," 2,239 "," 31,072 "," 2,755 "," 35,182 "," 6,001 ",
"Personal care and service workers, all other"," 26,898 ", 854 ," 28,551 "," 3,866 "," 25,817 "," 1,388 "," 26,260 ", 936 ," 27,842 "," 3,771 "," 24,633 "," 1,306 "," 32,335 "," 8,010 "," 32,415 "," 12,841 "," 32,298 "," 7,609 ",
Sales and Office Occupations," 40,632 ", 73 ," 50,091 ", 136 ," 36,441 ", 80 ," 36,621 ", 82 ," 41,917 ", 138 ," 34,367 ", 191 ," 54,602 ", 581 ," 67,751 "," 1,142 "," 46,118 ", 261 ,
Sales and Related Occupations," 47,247 ", 240 ," 55,123 ", 366 ," 36,833 ", 233 ," 39,641 ", 470 ," 46,493 ", 297 ," 31,401 ", 186 ," 70,711 ", 403 ," 78,431 "," 1,962 "," 56,822 ", 753 ,
First-line supervisors of retail sales workers," 41,663 ", 180 ," 48,219 ", 632 ," 35,701 ", 290 ," 39,352 ", 559 ," 45,234 ", 474 ," 32,368 ", 293 ," 52,440 ", 845 ," 59,625 "," 2,396 "," 46,030 ", 820 ,
First-line supervisors of non-retail sales workers," 66,000 ", 755 ," 69,886 "," 1,775 "," 60,238 "," 1,280 "," 52,833 "," 1,155 "," 56,063 ", 990 ," 47,911 "," 1,952 "," 90,541 "," 1,084 "," 99,537 "," 3,205 "," 76,782 "," 2,063 ",
Cashiers," 22,183 ", 193 ," 24,957 ", 707 ," 21,576 ", 199 ," 21,833 ", 208 ," 23,956 ", 972 ," 21,373 ", 207 ," 26,649 ", 773 ," 27,566 "," 2,500 "," 25,571 "," 1,438 ",
Counter and rental clerks," 32,413 "," 2,895 "," 37,200 "," 2,844 "," 26,312 "," 2,002 "," 31,127 "," 1,892 "," 36,723 "," 2,350 "," 25,397 "," 3,090 "," 37,153 "," 5,867 "," 41,112 "," 10,814 "," 32,669 "," 5,080 ",
Parts salespersons," 37,437 "," 1,088 "," 38,696 "," 1,403 "," 30,937 "," 1,352 "," 37,244 "," 1,000 "," 38,499 "," 1,391 "," 30,869 "," 1,351 "," 41,317 "," 4,773 "," 41,358 "," 5,541 "," 41,188 "," 89,077 ",
Retail salespersons," 36,440 ", 360 ," 41,744 ", 339 ," 29,109 ", 651 ," 32,392 ", 387 ," 38,872 "," 1,379 "," 26,834 ", 374 ," 50,461 ", 535 ," 54,582 "," 2,676 "," 40,147 "," 1,915 ",
Advertising sales agents," 63,784 "," 4,301 "," 68,425 "," 3,211 "," 57,699 "," 3,695 "," 50,393 "," 2,632 "," 55,445 "," 8,646 "," 45,640 "," 4,676 "," 74,684 "," 5,828 "," 81,288 "," 4,161 "," 67,349 "," 5,906 ",
Insurance sales agents," 51,967 ", 514 ," 66,075 "," 2,455 "," 43,532 "," 1,955 "," 43,932 "," 1,958 "," 52,006 "," 1,043 "," 40,727 ", 651 ," 70,207 "," 3,098 "," 77,461 "," 4,967 "," 54,304 "," 4,876 ",
"Securities, commodities, and financial services sales agents"," 98,922 "," 8,261 "," 120,243 "," 6,103 "," 60,492 "," 3,222 "," 52,448 "," 4,420 "," 61,068 "," 5,561 "," 50,271 "," 4,993 "," 121,136 "," 2,399 "," 140,886 "," 16,078 "," 76,872 "," 6,550 ",
Travel agents," 42,035 "," 1,371 "," 46,283 "," 2,902 "," 41,060 "," 1,456 "," 40,313 "," 2,278 "," 43,841 "," 4,386 "," 39,479 "," 2,903 "," 47,199 "," 4,164 "," 50,499 "," 5,005 "," 46,533 "," 3,660 ",
"Sales representatives, services, all other"," 70,743 ", 717 ," 75,712 "," 1,148 "," 60,480 "," 1,793 "," 53,529 "," 2,831 "," 60,130 "," 3,687 "," 47,143 "," 2,822 "," 90,136 "," 4,300 "," 96,623 "," 5,111 "," 75,534 "," 4,087 ",
"Sales representatives, wholesale and manufacturing"," 67,070 ", 617 ," 71,540 ", 647 ," 55,850 "," 1,020 "," 54,390 "," 1,215 "," 59,211 "," 1,761 "," 44,545 "," 1,789 "," 90,040 "," 2,681 "," 92,374 "," 3,715 "," 77,156 "," 4,200 ",
"Models, demonstrators, and product promoters"," 31,864 "," 4,522 "," 44,000 "," 8,880 "," 30,235 "," 2,689 "," 30,341 "," 2,632 "," 37,318 "," 13,885 "," 27,835 "," 6,044 "," 46,293 "," 13,208 "," 54,765 "," 10,200 "," 39,659 "," 19,617 ",
Real estate brokers and sales agents," 60,192 "," 2,277 "," 70,546 "," 3,013 "," 51,119 ", 734 ," 50,521 "," 1,030 "," 58,307 "," 5,715 "," 45,831 "," 2,510 "," 71,160 "," 1,620 "," 81,335 "," 2,113 "," 60,369 "," 2,925 ",
Sales engineers," 112,352 "," 7,473 "," 115,405 "," 8,862 "," 82,267 "," 18,552 "," 102,920 "," 11,049 "," 103,651 "," 11,966 "," 78,954 "," 29,440 "," 119,520 "," 7,828 "," 120,644 "," 5,107 "," 89,016 "," 21,004 ",
Telemarketers," 28,629 "," 3,143 "," 30,972 "," 2,474 "," 27,200 "," 2,415 "," 26,918 "," 1,797 "," 30,591 "," 3,552 "," 26,154 "," 1,723 "," 41,534 "," 3,236 "," 41,403 "," 18,359 "," 41,567 "," 4,160 ",
"Door-to-door sales workers, news and street vendors, and related workers"," 31,050 "," 1,412 "," 36,004 "," 1,736 "," 26,225 "," 1,651 "," 27,380 "," 3,136 "," 31,803 "," 3,300 "," 24,456 "," 3,048 "," 40,943 "," 2,485 "," 42,235 "," 9,433 "," 35,331 "," 10,578 ",
"Sales and related workers, all other"," 56,678 "," 1,782 "," 62,456 "," 4,067 "," 50,597 "," 1,208 "," 42,196 "," 1,381 "," 50,183 "," 2,320 "," 36,382 "," 1,899 "," 76,365 "," 3,234 "," 85,539 "," 8,694 "," 67,362 "," 6,294 ",
Office and Administrative Support Occupations," 37,287 ", 76 ," 41,606 ", 159 ," 36,343 ", 78 ," 35,908 ", 75 ," 39,017 ", 421 ," 35,260 ", 86 ," 45,432 ", 236 ," 52,331 ", 353 ," 41,952 ", 165 ,
First-line supervisors of office and administrative support workers," 50,630 ", 311 ," 57,324 ", 870 ," 46,596 ", 476 ," 45,692 ", 420 ," 50,459 ", 553 ," 42,524 ", 847 ," 62,026 ", 633 ," 75,026 "," 2,886 "," 55,249 "," 1,234 ",
"Switchboard operators, including answering service"," 30,855 "," 1,424 "," 35,092 "," 7,950 "," 30,268 "," 2,066 "," 30,831 "," 1,679 "," 34,405 "," 7,406 "," 30,242 "," 3,045 "," 31,055 "," 6,195 "," 43,048 "," 38,554 "," 30,470 "," 3,944 ",
Telephone operators," 34,758 "," 4,298 "," 42,057 "," 12,555 "," 31,416 "," 2,151 "," 34,131 "," 4,207 "," 41,585 "," 14,391 "," 31,407 "," 2,524 "," 37,153 "," 17,388 "," 43,872 "," 21,607 "," 31,535 "," 21,387 ",
"Communications equipment operators, all other"," 44,357 "," 7,218 "," 57,711 "," 13,362 "," 38,045 "," 8,554 "," 42,376 "," 5,357 "," 51,478 "," 13,313 "," 36,466 "," 10,871 "," 57,283 "," 20,157 "," 61,316 "," 5,283 "," 51,111 "," 36,018 ",
Bill and account collectors," 36,159 ", 573 ," 40,504 "," 1,286 "," 35,144 ", 798 ," 35,269 ", 879 ," 38,255 "," 2,670 "," 34,274 "," 1,416 "," 40,984 "," 1,465 "," 45,668 "," 5,532 "," 37,972 "," 2,253 ",
Billing and posting clerks," 35,358 ", 319 ," 40,713 "," 1,305 "," 35,020 ", 488 ," 34,528 ", 669 ," 36,139 "," 1,923 "," 34,327 ", 694 ," 40,368 ", 789 ," 51,298 "," 2,414 "," 37,416 "," 1,936 ",
"Bookkeeping, accounting, and auditing clerks"," 40,016 ", 330 ," 43,358 "," 2,342 "," 39,282 ", 520 ," 38,917 ", 496 ," 41,847 ", 871 ," 38,451 ", 552 ," 42,698 "," 1,235 "," 47,107 "," 3,216 "," 42,069 ", 611 ,
