major_category,minor_category,Occupational Category,total_salary,total_mens_salary,total_womens_salary,total_less_bachelors,mens_less_bachelors,womens_less_bachelors,total_with_bachelors,men_with_bachelors,women_with_bachelors,
Service Occupations,Building and Grounds Cleaning and Maintenance Occupations,Grounds maintenance workers," 26,585 "," 26,703 "," 23,620 "," 26,171 "," 26,325 "," 22,507 "," 34,596 "," 35,532 "," 30,319 ",
Service Occupations,Personal Care and Service Occupations,Personal Care and Service Occupations," 26,057 "," 31,820 "," 24,466 "," 25,179 "," 30,909 "," 23,441 "," 31,938 "," 39,725 "," 30,345 ",
Service Occupations,Personal Care and Service Occupations,First-line supervisors of gaming workers," 46,777 "," 50,483 "," 41,668 "," 45,795 "," 50,113 "," 41,502 "," 50,948 "," 52,356 "," 41,866 ",
Service Occupations,Personal Care and Service Occupations,First-line supervisors of personal service workers," 33,572 "," 41,628 "," 31,240 "," 31,468 "," 36,425 "," 30,306 "," 45,479 "," 52,346 "," 37,081 ",
Service Occupations,Personal Care and Service Occupations,Animal trainers," 30,860 "," 35,799 "," 28,230 "," 28,805 "," 32,101 "," 25,278 "," 33,112 "," 40,402 "," 31,215 ",
Service Occupations,Personal Care and Service Occupations,Nonfarm animal caretakers," 26,984 "," 31,355 "," 25,716 "," 26,226 "," 31,007 "," 24,713 "," 31,078 "," 35,480 "," 30,272 ",
Service Occupations,Personal Care and Service Occupations,Gaming services workers," 40,244 "," 41,543 "," 36,439 "," 40,307 "," 41,793 "," 36,269 "," 39,320 "," 39,126 "," 39,725 ",
Service Occupations,Personal Care and Service Occupations,Motion picture projectionists," 47,566 "," 49,093 "," 21,932 "," 40,202 "," 41,440 "," 21,656 "," 66,179 "," 66,380 ", - ,
Service Occupations,Personal Care and Service Occupations,"Ushers, lobby attendants, and ticket takers"," 36,209 "," 45,224 "," 33,699 "," 35,750 "," 45,445 "," 27,390 "," 36,250 "," 36,862 "," 35,774 ",
Service Occupations,Personal Care and Service Occupations,Miscellaneous entertainment attendants and related workers," 30,087 "," 31,480 "," 24,888 "," 26,156 "," 31,039 "," 21,655 "," 36,092 "," 35,550 "," 36,428 ",
Service Occupations,Personal Care and Service Occupations,Embalmers and funeral attendants," 30,187 "," 30,050 "," 31,043 "," 27,458 "," 27,309 "," 27,984 "," 47,721 "," 40,026 "," 61,080 ",
Service Occupations,Personal Care and Service Occupations,"Morticians, undertakers, and funeral directors"," 51,506 "," 52,177 "," 44,367 "," 51,336 "," 52,421 "," 41,319 "," 51,672 "," 51,971 "," 49,194 ",
Service Occupations,Personal Care and Service Occupations,Barbers," 25,668 "," 26,612 "," 21,238 "," 25,546 "," 26,410 "," 21,313 "," 31,222 "," 32,205 "," 19,334 ",
Service Occupations,Personal Care and Service Occupations,"Hairdressers, hairstylists, and cosmetologists"," 27,013 "," 32,100 "," 26,486 "," 26,673 "," 31,665 "," 26,179 "," 32,146 "," 40,302 "," 31,453 ",
Service Occupations,Personal Care and Service Occupations,Miscellaneous personal appearance workers," 24,030 "," 26,605 "," 23,435 "," 23,703 "," 26,348 "," 23,121 "," 26,743 "," 35,610 "," 26,307 ",
Service Occupations,Personal Care and Service Occupations,"Baggage porters, bellhops, and concierges"," 34,820 "," 36,498 "," 30,952 "," 33,261 "," 35,860 "," 30,114 "," 37,305 "," 37,287 "," 37,510 ",
Service Occupations,Personal Care and Service Occupations,Tour and travel guides," 31,383 "," 32,093 "," 30,129 "," 25,977 "," 26,773 "," 23,070 "," 37,249 "," 40,771 "," 35,678 ",
Service Occupations,Personal Care and Service Occupations,Childcare workers," 22,115 "," 26,578 "," 21,933 "," 21,358 "," 24,509 "," 21,213 "," 27,025 "," 31,191 "," 26,571 ",
Service Occupations,Personal Care and Service Occupations,Personal care aides," 23,311 "," 26,751 "," 22,479 "," 22,723 "," 26,249 "," 22,211 "," 26,951 "," 30,936 "," 25,890 ",
Service Occupations,Personal Care and Service Occupations,Recreation and fitness workers," 32,397 "," 36,709 "," 31,181 "," 30,771 "," 32,204 "," 28,796 "," 37,468 "," 41,832 "," 35,763 ",
Service Occupations,Personal Care and Service Occupations,Residential advisors," 30,759 "," 32,006 "," 30,176 "," 30,192 "," 33,335 "," 27,939 "," 32,018 "," 31,072 "," 35,182 ",
Service Occupations,Personal Care and Service Occupations,"Personal care and service workers, all other"," 26,898 "," 28,551 "," 25,817 "," 26,260 "," 27,842 "," 24,633 "," 32,335 "," 32,415 "," 32,298 ",
Sales and Office Occupations,,Sales and Office Occupations," 40,632 "," 50,091 "," 36,441 "," 36,621 "," 41,917 "," 34,367 "," 54,602 "," 67,751 "," 46,118 ",
Sales and Office Occupations,Sales and Related Occupations,Sales and Related Occupations," 47,247 "," 55,123 "," 36,833 "," 39,641 "," 46,493 "," 31,401 "," 70,711 "," 78,431 "," 56,822 ",
Sales and Office Occupations,Sales and Related Occupations,First-line supervisors of retail sales workers," 41,663 "," 48,219 "," 35,701 "," 39,352 "," 45,234 "," 32,368 "," 52,440 "," 59,625 "," 46,030 ",
Sales and Office Occupations,Sales and Related Occupations,First-line supervisors of non-retail sales workers," 66,000 "," 69,886 "," 60,238 "," 52,833 "," 56,063 "," 47,911 "," 90,541 "," 99,537 "," 76,782 ",
Sales and Office Occupations,Sales and Related Occupations,Cashiers," 22,183 "," 24,957 "," 21,576 "," 21,833 "," 23,956 "," 21,373 "," 26,649 "," 27,566 "," 25,571 ",
Sales and Office Occupations,Sales and Related Occupations,Counter and rental clerks," 32,413 "," 37,200 "," 26,312 "," 31,127 "," 36,723 "," 25,397 "," 37,153 "," 41,112 "," 32,669 ",
Sales and Office Occupations,Sales and Related Occupations,Parts salespersons," 37,437 "," 38,696 "," 30,937 "," 37,244 "," 38,499 "," 30,869 "," 41,317 "," 41,358 "," 41,188 ",
Sales and Office Occupations,Sales and Related Occupations,Retail salespersons," 36,440 "," 41,744 "," 29,109 "," 32,392 "," 38,872 "," 26,834 "," 50,461 "," 54,582 "," 40,147 ",
Sales and Office Occupations,Sales and Related Occupations,Advertising sales agents," 63,784 "," 68,425 "," 57,699 "," 50,393 "," 55,445 "," 45,640 "," 74,684 "," 81,288 "," 67,349 ",
Sales and Office Occupations,Sales and Related Occupations,Insurance sales agents," 51,967 "," 66,075 "," 43,532 "," 43,932 "," 52,006 "," 40,727 "," 70,207 "," 77,461 "," 54,304 ",
Sales and Office Occupations,Sales and Related Occupations,"Securities, commodities, and financial services sales agents"," 98,922 "," 120,243 "," 60,492 "," 52,448 "," 61,068 "," 50,271 "," 121,136 "," 140,886 "," 76,872 ",
Sales and Office Occupations,Sales and Related Occupations,Travel agents," 42,035 "," 46,283 "," 41,060 "," 40,313 "," 43,841 "," 39,479 "," 47,199 "," 50,499 "," 46,533 ",
Sales and Office Occupations,Sales and Related Occupations,"Sales representatives, services, all other"," 70,743 "," 75,712 "," 60,480 "," 53,529 "," 60,130 "," 47,143 "," 90,136 "," 96,623 "," 75,534 ",
Sales and Office Occupations,Sales and Related Occupations,"Sales representatives, wholesale and manufacturing"," 67,070 "," 71,540 "," 55,850 "," 54,390 "," 59,211 "," 44,545 "," 90,040 "," 92,374 "," 77,156 ",
Sales and Office Occupations,Sales and Related Occupations,"Models, demonstrators, and product promoters"," 31,864 "," 44,000 "," 30,235 "," 30,341 "," 37,318 "," 27,835 "," 46,293 "," 54,765 "," 39,659 ",
Sales and Office Occupations,Sales and Related Occupations,Real estate brokers and sales agents," 60,192 "," 70,546 "," 51,119 "," 50,521 "," 58,307 "," 45,831 "," 71,160 "," 81,335 "," 60,369 ",
Sales and Office Occupations,Sales and Related Occupations,Sales engineers," 112,352 "," 115,405 "," 82,267 "," 102,920 "," 103,651 "," 78,954 "," 119,520 "," 120,644 "," 89,016 ",
Sales and Office Occupations,Sales and Related Occupations,Telemarketers," 28,629 "," 30,972 "," 27,200 "," 26,918 "," 30,591 "," 26,154 "," 41,534 "," 41,403 "," 41,567 ",
Sales and Office Occupations,Sales and Related Occupations,"Door-to-door sales workers, news and street vendors, and related workers"," 31,050 "," 36,004 "," 26,225 "," 27,380 "," 31,803 "," 24,456 "," 40,943 "," 42,235 "," 35,331 ",
Sales and Office Occupations,Sales and Related Occupations,"Sales and related workers, all other"," 56,678 "," 62,456 "," 50,597 "," 42,196 "," 50,183 "," 36,382 "," 76,365 "," 85,539 "," 67,362 ",
Sales and Office Occupations,Office and Administrative Support Occupations,Office and Administrative Support Occupations," 37,287 "," 41,606 "," 36,343 "," 35,908 "," 39,017 "," 35,260 "," 45,432 "," 52,331 "," 41,952 ",
Sales and Office Occupations,Office and Administrative Support Occupations,First-line supervisors of office and administrative support workers," 50,630 "," 57,324 "," 46,596 "," 45,692 "," 50,459 "," 42,524 "," 62,026 "," 75,026 "," 55,249 ",
Sales and Office Occupations,Office and Administrative Support Occupations,"Switchboard operators, including answering service"," 30,855 "," 35,092 "," 30,268 "," 30,831 "," 34,405 "," 30,242 "," 31,055 "," 43,048 "," 30,470 ",
Sales and Office Occupations,Office and Administrative Support Occupations,Telephone operators," 34,758 "," 42,057 "," 31,416 "," 34,131 "," 41,585 "," 31,407 "," 37,153 "," 43,872 "," 31,535 ",
Sales and Office Occupations,Office and Administrative Support Occupations,"Communications equipment operators, all other"," 44,357 "," 57,711 "," 38,045 "," 42,376 "," 51,478 "," 36,466 "," 57,283 "," 61,316 "," 51,111 ",
Sales and Office Occupations,Office and Administrative Support Occupations,Bill and account collectors," 36,159 "," 40,504 "," 35,144 "," 35,269 "," 38,255 "," 34,274 "," 40,984 "," 45,668 "," 37,972 ",
Sales and Office Occupations,Office and Administrative Support Occupations,Billing and posting clerks," 35,358 "," 40,713 "," 35,020 "," 34,528 "," 36,139 "," 34,327 "," 40,368 "," 51,298 "," 37,416 ",
Sales and Office Occupations,Office and Administrative Support Occupations,"Bookkeeping, accounting, and auditing clerks"," 40,016 "," 43,358 "," 39,282 "," 38,917 "," 41,847 "," 38,451 "," 42,698 "," 47,107 "," 42,069 ",
Sales and Office Occupations,Office and Administrative Support Occupations,Gaming cage workers," 30,779 "," 31,512 "," 30,092 "," 30,295 "," 30,271 "," 30,327 "," 36,322 "," 41,123 "," 27,275 ",
Sales and Office Occupations,Office and Administrative Support Occupations,Payroll and timekeeping clerks," 41,532 "," 50,000 "," 41,124 "," 40,949 "," 50,585 "," 40,620 "," 45,621 "," 48,635 "," 44,551 ",
Sales and Office Occupations,Office and Administrative Support Occupations,Procurement clerks," 57,008 "," 61,187 "," 51,898 "," 51,607 "," 55,258 "," 48,423 "," 65,249 "," 66,391 "," 62,181 ",
Sales and Office Occupations,Office and Administrative Support Occupations,Tellers," 27,283 "," 28,808 "," 27,170 "," 27,223 "," 27,522 "," 27,190 "," 27,662 "," 30,971 "," 27,067 ",
Sales and Office Occupations,Office and Administrative Support Occupations,"Financial clerks, all other"," 57,291 "," 81,295 "," 46,471 "," 41,889 "," 51,248 "," 40,682 "," 85,687 "," 96,626 "," 70,158 ",
Sales and Office Occupations,Office and Administrative Support Occupations,Brokerage clerks," 49,940 "," 59,443 "," 46,489 "," 47,274 "," 59,022 "," 46,156 "," 53,722 "," 62,978 "," 50,582 ",
Sales and Office Occupations,Office and Administrative Support Occupations,Correspondence clerks," 49,346 "," 45,983 "," 50,434 "," 47,216 "," 46,989 "," 47,330 "," 62,436 "," 45,142 "," 85,188 ",
Sales and Office Occupations,Office and Administrative Support Occupations,"Court, municipal, and license clerks"," 38,691 "," 45,843 "," 37,684 "," 37,351 "," 39,476 "," 37,163 "," 41,985 "," 49,894 "," 39,535 ",
Sales and Office Occupations,Office and Administrative Support Occupations,"Credit authorizers, checkers, and clerks"," 42,503 "," 52,444 "," 40,977 "," 40,351 "," 41,913 "," 39,907 "," 67,578 "," 80,603 "," 53,265 ",
Sales and Office Occupations,Office and Administrative Support Occupations,Customer service representatives," 35,790 "," 40,382 "," 34,009 "," 32,396 "," 35,920 "," 31,898 "," 45,448 "," 51,365 "," 41,826 ",
Sales and Office Occupations,Office and Administrative Support Occupations,"Eligibility interviewers, government programs"," 42,236 "," 49,752 "," 41,292 "," 40,955 "," 48,120 "," 40,181 "," 46,121 "," 51,389 "," 44,963 ",
Sales and Office Occupations,Office and Administrative Support Occupations,File clerks," 35,326 "," 38,366 "," 34,624 "," 33,770 "," 36,427 "," 33,089 "," 40,113 "," 41,466 "," 37,743 ",
Sales and Office Occupations,Office and Administrative Support Occupations,"Hotel, motel, and resort desk clerks"," 23,781 "," 25,669 "," 22,571 "," 23,188 "," 25,448 "," 22,096 "," 26,153 "," 28,573 "," 25,874 ",
Sales and Office Occupations,Office and Administrative Support Occupations,"Interviewers, except eligibility and loan"," 32,430 "," 41,882 "," 31,861 "," 31,249 "," 40,330 "," 30,878 "," 40,867 "," 50,026 "," 38,556 ",
Sales and Office Occupations,Office and Administrative Support Occupations,"Library assistants, clerical"," 31,069 "," 31,571 "," 30,964 "," 30,250 "," 29,876 "," 30,318 "," 31,936 "," 35,117 "," 31,671 ",
Sales and Office Occupations,Office and Administrative Support Occupations,Loan interviewers and clerks," 42,100 "," 50,024 "," 41,699 "," 41,459 "," 47,683 "," 41,192 "," 46,301 "," 51,837 "," 45,660 ",
Sales and Office Occupations,Office and Administrative Support Occupations,New accounts clerks," 36,695 "," 50,089 "," 33,993 "," 33,811 "," 36,654 "," 32,374 "," 42,058 "," 56,753 "," 36,032 ",
Sales and Office Occupations,Office and Administrative Support Occupations,Order clerks," 34,554 "," 37,013 "," 31,914 "," 32,453 "," 36,013 "," 31,001 "," 41,746 "," 47,293 "," 39,615 ",
Sales and Office Occupations,Office and Administrative Support Occupations,"Human resources assistants, except payroll and timekeeping"," 40,221 "," 46,561 "," 39,367 "," 38,900 "," 42,312 "," 38,313 "," 44,298 "," 50,178 "," 42,556 ",
Sales and Office Occupations,Office and Administrative Support Occupations,Receptionists and information clerks," 30,261 "," 32,014 "," 30,134 "," 29,828 "," 31,587 "," 29,588 "," 32,470 "," 35,344 "," 32,316 ",
Sales and Office Occupations,Office and Administrative Support Occupations,Reservation and transportation ticket agents and travel clerks," 41,057 "," 46,257 "," 38,614 "," 36,878 "," 41,652 "," 35,605 "," 51,246 "," 52,093 "," 50,444 ",
Sales and Office Occupations,Office and Administrative Support Occupations,"Information and record clerks, all other"," 39,009 "," 42,264 "," 37,019 "," 36,060 "," 39,938 "," 35,619 "," 45,385 "," 47,418 "," 43,928 ",
Sales and Office Occupations,Office and Administrative Support Occupations,Cargo and freight agents," 40,095 "," 41,445 "," 34,387 "," 37,304 "," 39,459 "," 32,438 "," 44,660 "," 48,195 "," 42,484 ",
Sales and Office Occupations,Office and Administrative Support Occupations,Couriers and messengers," 39,187 "," 40,489 "," 32,281 "," 38,486 "," 40,281 "," 31,413 "," 41,573 "," 42,654 "," 36,760 ",
Sales and Office Occupations,Office and Administrative Support Occupations,Dispatchers," 40,092 "," 43,060 "," 36,567 "," 38,858 "," 42,123 "," 35,941 "," 45,010 "," 47,622 "," 42,054 ",
Sales and Office Occupations,Office and Administrative Support Occupations,"Meter readers, utilities"," 41,739 "," 42,009 "," 36,592 "," 41,133 "," 41,520 "," 35,730 "," 51,383 "," 52,212 "," 50,144 ",
Sales and Office Occupations,Office and Administrative Support Occupations,Postal service clerks," 55,593 "," 56,217 "," 55,013 "," 55,358 "," 56,236 "," 52,348 "," 57,367 "," 56,017 "," 58,558 ",
Sales and Office Occupations,Office and Administrative Support Occupations,Postal service mail carriers," 57,329 "," 58,900 "," 54,183 "," 57,287 "," 58,806 "," 54,599 "," 57,586 "," 59,340 "," 51,786 ",
Sales and Office Occupations,Office and Administrative Support Occupations,"Postal service mail sorters, processors, and processing machine operators"," 55,316 "," 56,484 "," 52,297 "," 55,062 "," 56,135 "," 51,877 "," 56,979 "," 59,545 "," 55,607 ",
Sales and Office Occupations,Office and Administrative Support Occupations,"Production, planning, and expediting clerks"," 50,410 "," 62,741 "," 41,346 "," 44,410 "," 60,219 "," 38,743 "," 61,298 "," 71,264 "," 52,229 ",
Sales and Office Occupations,Office and Administrative Support Occupations,"Shipping, receiving, and traffic clerks"," 31,942 "," 33,114 "," 29,794 "," 31,854 "," 33,167 "," 29,351 "," 33,609 "," 32,492 "," 35,304 ",
Sales and Office Occupations,Office and Administrative Support Occupations,Stock clerks and order fillers," 29,849 "," 30,504 "," 27,778 "," 29,183 "," 30,218 "," 27,360 "," 35,100 "," 35,680 "," 32,188 ",
Sales and Office Occupations,Office and Administrative Support Occupations,"Weighers, measurers, checkers, and samplers, recordkeeping"," 36,762 "," 40,639 "," 32,598 "," 35,494 "," 38,476 "," 31,910 "," 50,298 "," 62,909 "," 42,197 ",
Sales and Office Occupations,Office and Administrative Support Occupations,Secretaries and administrative assistants," 37,776 "," 45,235 "," 37,419 "," 36,784 "," 41,394 "," 36,653 "," 41,813 "," 50,258 "," 41,402 ",
Sales and Office Occupations,Office and Administrative Support Occupations,Computer operators," 43,369 "," 52,191 "," 38,527 "," 40,828 "," 48,267 "," 36,797 "," 53,590 "," 58,420 "," 47,599 ",
Sales and Office Occupations,Office and Administrative Support Occupations,Data entry keyers," 33,663 "," 36,426 "," 32,681 "," 32,518 "," 35,617 "," 32,283 "," 35,918 "," 38,211 "," 34,964 ",
Sales and Office Occupations,Office and Administrative Support Occupations,Word processors and typists," 35,334 "," 40,161 "," 34,697 "," 35,005 "," 38,671 "," 34,323 "," 36,638 "," 41,453 "," 35,505 ",
Sales and Office Occupations,Office and Administrative Support Occupations,Desktop publishers," 42,201 "," 55,044 "," 32,024 "," 40,951 "," 55,625 "," 30,668 "," 43,723 "," 44,574 "," 39,091 ",
Sales and Office Occupations,Office and Administrative Support Occupations,Insurance claims and policy processing clerks," 38,306 "," 41,883 "," 37,398 "," 36,576 "," 38,815 "," 36,375 "," 44,260 "," 47,825 "," 41,983 ",
Sales and Office Occupations,Office and Administrative Support Occupations,"Mail clerks and mail machine operators, except postal service"," 30,206 "," 33,073 "," 27,199 "," 30,050 "," 33,992 "," 26,877 "," 30,876 "," 30,723 "," 31,195 ",
Sales and Office Occupations,Office and Administrative Support Occupations,"Office clerks, general"," 35,561 "," 40,958 "," 34,868 "," 34,134 "," 40,013 "," 33,063 "," 40,589 "," 45,580 "," 39,733 ",
Sales and Office Occupations,Office and Administrative Support Occupations,"Office machine operators, except computer"," 31,342 "," 38,676 "," 29,013 "," 31,445 "," 40,002 "," 28,899 "," 30,588 "," 32,474 "," 29,229 ",
Sales and Office Occupations,Office and Administrative Support Occupations,Proofreaders and copy markers," 40,435 "," 38,538 "," 41,357 "," 39,155 "," 36,784 "," 40,712 "," 45,379 "," 45,754 "," 45,125 ",
Sales and Office Occupations,Office and Administrative Support Occupations,Statistical assistants," 50,754 "," 52,918 "," 47,814 "," 46,853 "," 47,282 "," 46,010 "," 64,399 "," 84,052 "," 53,342 ",
Sales and Office Occupations,Office and Administrative Support Occupations,"Office and administrative support workers, all other"," 41,702 "," 48,137 "," 40,754 "," 39,831 "," 45,506 "," 38,271 "," 46,480 "," 51,467 "," 45,313 ",
"Natural Resources, Construction, and Maintenance Occupations",,"Natural Resources, Construction, and Maintenance Occupations"," 42,475 "," 43,289 "," 32,020 "," 42,124 "," 42,342 "," 30,909 "," 52,159 "," 52,291 "," 50,026 ",
"Natural Resources, Construction, and Maintenance Occupations","Farming, Fishing, and Forestry Occupations","Farming, Fishing, and Forestry Occupations"," 27,351 "," 29,964 "," 21,367 "," 26,823 "," 28,880 "," 20,926 "," 40,438 "," 42,225 "," 31,355 ",
"Natural Resources, Construction, and Maintenance Occupations","Farming, Fishing, and Forestry Occupations","First-line supervisors of farming, fishing, and forestry workers"," 41,590 "," 42,377 "," 32,125 "," 40,212 "," 41,112 "," 29,692 "," 61,735 "," 61,992 "," 60,308 ",
"Natural Resources, Construction, and Maintenance Occupations","Farming, Fishing, and Forestry Occupations",Agricultural inspectors," 50,129 "," 47,106 "," 52,455 "," 45,695 "," 45,084 "," 49,494 "," 61,524 "," 60,816 "," 66,384 ",
"Natural Resources, Construction, and Maintenance Occupations","Farming, Fishing, and Forestry Occupations",Animal breeders," 30,439 "," 36,371 "," 27,743 "," 30,043 "," 32,323 "," 24,695 "," 46,935 "," 61,096 ", - ,
"Natural Resources, Construction, and Maintenance Occupations","Farming, Fishing, and Forestry Occupations","Graders and sorters, agricultural products"," 21,146 "," 22,453 "," 20,842 "," 20,979 "," 22,041 "," 20,726 "," 45,320 "," 51,517 "," 40,030 ",
"Natural Resources, Construction, and Maintenance Occupations","Farming, Fishing, and Forestry Occupations",Miscellaneous agricultural workers," 26,017 "," 27,146 "," 20,508 "," 25,761 "," 26,827 "," 20,333 "," 32,977 "," 36,354 "," 23,791 ",
"Natural Resources, Construction, and Maintenance Occupations","Farming, Fishing, and Forestry Occupations",Fishing and hunting workers," 32,324 "," 32,466 "," 26,320 "," 32,307 "," 32,455 "," 26,509 "," 32,405 "," 35,074 ", - ,
"Natural Resources, Construction, and Maintenance Occupations","Farming, Fishing, and Forestry Occupations",Forest and conservation workers," 36,931 "," 38,787 "," 30,095 "," 32,480 "," 34,048 "," 28,103 "," 56,360 "," 58,013 "," 32,176 ",
"Natural Resources, Construction, and Maintenance Occupations","Farming, Fishing, and Forestry Occupations",Logging workers," 35,343 "," 35,626 "," 22,500 "," 35,252 "," 35,412 "," 22,952 "," 38,371 "," 39,503 ", - ,
"Natural Resources, Construction, and Maintenance Occupations",Construction and Extraction Occupations,Construction and Extraction Occupations," 41,876 "," 41,958 "," 36,671 "," 41,522 "," 41,616 "," 35,298 "," 52,417 "," 52,477 "," 51,420 ",
"Natural Resources, Construction, and Maintenance Occupations",Construction and Extraction Occupations,First-line supervisors of construction trades and extraction workers," 60,166 "," 60,396 "," 45,552 "," 57,382 "," 58,507 "," 42,095 "," 71,283 "," 71,655 "," 61,329 ",
"Natural Resources, Construction, and Maintenance Occupations",Construction and Extraction Occupations,Boilermakers," 56,278 "," 56,410 ", - ," 56,350 "," 56,481 ", - ," 49,688 "," 49,688 ", - ,
"Natural Resources, Construction, and Maintenance Occupations",Construction and Extraction Occupations,"Brickmasons, blockmasons, and stonemasons"," 35,312 "," 35,291 "," 52,637 "," 35,389 "," 35,371 "," 52,314 "," 30,842 "," 30,729 ", - ,
"Natural Resources, Construction, and Maintenance Occupations",Construction and Extraction Occupations,Carpenters," 37,371 "," 37,462 "," 31,567 "," 37,176 "," 37,272 "," 31,222 "," 42,509 "," 42,512 "," 42,467 ",
"Natural Resources, Construction, and Maintenance Occupations",Construction and Extraction Occupations,"Carpet, floor, and tile installers and finishers"," 35,869 "," 35,962 "," 30,644 "," 35,822 "," 35,902 "," 30,435 "," 36,935 "," 37,269 ", - ,
"Natural Resources, Construction, and Maintenance Occupations",Construction and Extraction Occupations,"Cement masons, concrete finishers, and terrazzo workers"," 37,235 "," 37,299 ", - ," 37,211 "," 37,276 ", - ," 40,266 "," 40,266 ", - ,
"Natural Resources, Construction, and Maintenance Occupations",Construction and Extraction Occupations,Construction laborers," 35,029 "," 35,133 "," 30,866 "," 34,080 "," 34,427 "," 30,868 "," 45,389 "," 45,710 "," 30,833 ",
"Natural Resources, Construction, and Maintenance Occupations",Construction and Extraction Occupations,"Paving, surfacing, and tamping equipment operators"," 44,334 "," 44,638 "," 27,489 "," 43,166 "," 43,470 "," 27,489 "," 71,278 "," 71,278 ", - ,
"Natural Resources, Construction, and Maintenance Occupations",Construction and Extraction Occupations,"Operating engineers and other construction equipment operators, including pile-driver operators"," 47,343 "," 47,321 "," 50,539 "," 47,256 "," 47,251 "," 48,558 "," 51,593 "," 51,092 "," 70,481 ",
"Natural Resources, Construction, and Maintenance Occupations",Construction and Extraction Occupations,"Drywall installers, ceiling tile installers, and tapers"," 31,647 "," 31,774 "," 21,246 "," 31,523 "," 31,643 "," 21,416 "," 41,101 "," 41,374 ", - ,
"Natural Resources, Construction, and Maintenance Occupations",Construction and Extraction Occupations,Electricians," 52,460 "," 52,468 "," 51,764 "," 52,290 "," 52,299 "," 51,469 "," 60,487 "," 60,528 "," 59,434 ",
"Natural Resources, Construction, and Maintenance Occupations",Construction and Extraction Occupations,Glaziers," 40,881 "," 40,859 "," 75,670 "," 41,311 "," 41,291 "," 75,670 "," 31,127 "," 31,127 ", - ,
"Natural Resources, Construction, and Maintenance Occupations",Construction and Extraction Occupations,Insulation workers," 38,614 "," 38,823 "," 32,216 "," 38,225 "," 38,411 "," 32,393 "," 41,644 "," 42,483 ", - ,
"Natural Resources, Construction, and Maintenance Occupations",Construction and Extraction Occupations,"Painters, construction and maintenance"," 31,268 "," 31,340 "," 29,079 "," 31,112 "," 31,181 "," 28,672 "," 36,723 "," 37,490 "," 31,289 ",
"Natural Resources, Construction, and Maintenance Occupations",Construction and Extraction Occupations,Paperhangers," 41,343 "," 51,503 "," 22,251 "," 40,394 "," 51,157 "," 22,251 "," 77,330 "," 77,330 ", - ,
"Natural Resources, Construction, and Maintenance Occupations",Construction and Extraction Occupations,"Pipelayers, plumbers, pipefitters, and steamfitters"," 50,192 "," 50,221 "," 47,680 "," 49,800 "," 50,005 "," 40,284 "," 60,343 "," 59,111 "," 96,326 ",
"Natural Resources, Construction, and Maintenance Occupations",Construction and Extraction Occupations,Plasterers and stucco masons," 31,809 "," 31,767 ", - ," 31,692 "," 31,643 ", - ," 33,773 "," 33,773 ", - ,
"Natural Resources, Construction, and Maintenance Occupations",Construction and Extraction Occupations,Reinforcing iron and rebar workers," 45,653 "," 45,653 ", - ," 45,265 "," 45,265 ", - , - , - , - ,
"Natural Resources, Construction, and Maintenance Occupations",Construction and Extraction Occupations,Roofers," 31,131 "," 31,058 "," 50,220 "," 31,044 "," 30,968 "," 50,220 "," 34,343 "," 34,343 ", - ,
"Natural Resources, Construction, and Maintenance Occupations",Construction and Extraction Occupations,Sheet metal workers," 43,630 "," 44,588 "," 33,000 "," 44,198 "," 45,011 "," 36,657 "," 35,962 "," 36,923 "," 26,624 ",
"Natural Resources, Construction, and Maintenance Occupations",Construction and Extraction Occupations,Structural iron and steel workers," 52,137 "," 51,810 "," 70,751 "," 52,067 "," 51,898 "," 57,122 "," 56,973 "," 32,274 ", - ,
"Natural Resources, Construction, and Maintenance Occupations",Construction and Extraction Occupations,"Helpers, construction trades"," 29,100 "," 28,769 "," 42,219 "," 28,768 "," 28,372 "," 47,927 "," 31,268 "," 31,513 ", - ,
"Natural Resources, Construction, and Maintenance Occupations",Construction and Extraction Occupations,Construction and building inspectors," 56,501 "," 57,890 "," 46,652 "," 53,404 "," 55,847 "," 41,156 "," 64,614 "," 65,556 "," 61,933 ",
"Natural Resources, Construction, and Maintenance Occupations",Construction and Extraction Occupations,Elevator installers and repairers," 87,009 "," 87,451 "," 41,783 "," 86,254 "," 86,956 "," 41,029 "," 116,294 "," 121,197 ", - ,
"Natural Resources, Construction, and Maintenance Occupations",Construction and Extraction Occupations,Fence erectors," 31,761 "," 32,004 "," 20,841 "," 31,792 "," 31,946 "," 22,311 "," 30,903 "," 46,282 ", - ,
"Natural Resources, Construction, and Maintenance Occupations",Construction and Extraction Occupations,Hazardous materials removal workers," 37,466 "," 40,800 "," 27,957 "," 35,778 "," 37,091 "," 27,726 "," 62,651 "," 63,177 "," 51,284 ",
"Natural Resources, Construction, and Maintenance Occupations",Construction and Extraction Occupations,Highway maintenance workers," 40,121 "," 40,248 "," 31,692 "," 40,132 "," 40,268 "," 31,578 "," 37,179 "," 36,938 "," 50,556 ",
"Natural Resources, Construction, and Maintenance Occupations",Construction and Extraction Occupations,Rail-track laying and maintenance equipment operators," 60,423 "," 60,726 "," 50,596 "," 60,542 "," 60,646 ", - ," 51,753 "," 66,250 ", - ,
